Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
2,SoupX,2,158,2-Jan-23,10-Mar-23,3-Jan-23,A Bigger Vision,Rahul Dua,Food and Beverage,Soup based meals,https://www.soupx.in/,2021.0,2.0,2.0,,,0.0,Young,Delhi,Delhi,,,45.0,,,yes,,,,,75.0,6.0,1250.0,1,1.0,50.0,18.0,25.0,,277.7777778,1.0,,,,,,,,50.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,ATMOSPHERE,3,159,2-Jan-23,10-Mar-23,4-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Food and Beverage,Varieties of kombucha,https://atmospherestudio.in/,2019.0,2.0,,2.0,,0.0,Young,Delhi,Delhi,,,,,,,,,,,75.0,3.0,2500.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Stage,3,160,2-Jan-23,10-Mar-23,4-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Entertainment,Web series and movies in Indian languages,https://www.stage.in/,,3.0,3.0,,,0.0,Young,"Bhiwani,Barnagar","Haryana,Madhya Pradesh",,,,,,,,,,,300.0,1.0,30000.0,1,1.0,150.0,0.6,150.0,,25000.0,3.0,,,,,50.0,0.2,50.0,,,,,,,50.0,0.2,50.0,50.0,0.2,50.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Girgit,3,161,2-Jan-23,10-Mar-23,4-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Beauty/Fashion,color-changing clothing products,https://www.girgitstore.com/,2022.0,2.0,1.0,1.0,,1.0,Young,Mumbai,Maharashtra,,,,,,,,,,,20.0,10.0,200.0,1,1.0,20.0,20.0,,,100.0,1.0,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,GearHeadMotors,4,162,2-Jan-23,10-Mar-23,5-Jan-23,Ideas Meets Opportunity,Rahul Dua,Vehicles/Electrical Vehicles,Electric vehicles bikes,https://www.ghmev.com/,,2.0,2.0,,,0.0,Young,Hyderabad,Telangana,,,,,,,,,,,75.0,2.0,3750.0,1,1.0,100.0,6.67,,,1499.250375,2.0,,,,,,,,,,,,,,50.0,3.335,,50.0,3.335,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,PatilKaki,4,163,2-Jan-23,10-Mar-23,5-Jan-23,Ideas Meets Opportunity,Rahul Dua,Food and Beverage,Homemade snacks,https://patilkaki.com/,2020.0,3.0,2.0,1.0,,0.0,Young,Mumbai,Maharashtra,,,,,,,,,,,40.0,2.5,1600.0,1,1.0,40.0,4.0,,,1000.0,2.0,,,,,,,,,,,20.0,2.0,,,,,20.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Brandsdaddy,4,164,2-Jan-23,10-Mar-23,5-Jan-23,Ideas Meets Opportunity,Rahul Dua,Manufacturing,Auto Fire Extinguisher,https://www.brandsdaddy.com/,2013.0,2.0,1.0,1.0,,1.0,Middle,Mumbai,Maharashtra,,12.0,60.0,,,,,,,,70.0,5.0,1400.0,1,1.0,35.0,5.0,35.0,,700.0,1.0,,,,,35.0,5.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Winston,5,165,2-Jan-23,10-Mar-23,6-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Techno beauty products at home,https://winstonindia.com/,,2.0,1.0,1.0,,1.0,Middle,Faridabad,Haryana,,46.0,,,,,,,,,100.0,4.0,2500.0,1,1.0,100.0,10.0,,,1000.0,2.0,,,,,,,,50.0,5.0,,50.0,5.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Flatheads,5,166,2-Jan-23,10-Mar-23,6-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Shoes Sneakers Loafers,https://www.flatheads.in/,2019.0,1.0,1.0,,,0.0,Middle,Bangalore,Karnataka,,,,,,yes,,,,,75.0,3.0,2500.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,OrganicSmokes,5,167,2-Jan-23,10-Mar-23,6-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Organic Cigarettes Cigarillos Smokes,https://www.meaame.com/,,3.0,3.0,,,0.0,Middle,Delhi,Delhi,,40.0,,,,,,,,,100.0,1.0,10000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,TeaFit,6,168,2-Jan-23,10-Mar-23,9-Jan-23,Determined Entrepreneurs,Rahul Dua,Food and Beverage,Refreshing beverages,http://tea.fit/,,3.0,2.0,1.0,,0.0,Young,Mumbai,Maharashtra,,,,,,,,,,,50.0,3.0,1666.666667,1,1.0,50.0,8.0,,,625.0,4.0,,,,,,,,12.5,2.0,,12.5,2.0,,12.5,2.0,,12.5,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
